,title,hits
242,"[SUB]🚨속보🚨 방탄 진, 얼굴 자체가 진수성찬✨ 차쥐뿔 근본 잃어버려...👥 [차린건 쥐뿔도 없지만] EP.13 #이영지 #진 (ENG/JPN/SPA)",20924475
52,"[SUB] 비폭력🤜🏻🚫주당 채씨, 그게 되나 적당히 술 마시는 게😏 [차린건 쥐뿔도 없지만] EP.07 #이영지 #몬스타엑스형원 (ENG/JPN/SPA)",17743617
277,소주에 꼽아먹는 숙취해소제? 바로사봤습니다. #숙희해수,15257476
76,"[SUB] 존재 자체가 인류의 밸런스 붕괴🤦‍♀, 최강의 사기캐 유지민🔥 [차린건 쥐뿔도 없지만] EP.19 #이영지 #카리나 (ENG/JPN/SPA/IND)",14560812
34,[SUB] 정신 차렸더니 안유진이 술 마실 나이가 된 건에 대하여..👀 [차린건 쥐뿔도 없지만] EP.15 #이영지 #안유진 (ENG/JPN/SPA/IND),13362152
258,[SUB] 트와이스 데뷔 7년 만의 음주 방송 🥂 이건... 귀하네요... 😉 [차린건 쥐뿔도 없지만] EP.10 #이영지 #트와이스 (ENG/JPN/SPA),13208236
97,[MV] ZIA(지아) _ Have a drink(술 한잔 해요),10441017
65,[SUB] 어느날 우리집 현관으로 박보영이 들어왔다..😮💥 [차린건 쥐뿔도 없지만] EP.24 #이영지 #박보영 (ENG/JPN/SPA/IND),10255790
51,"[SUB] 귀여운 쌈아치😈 언니, 한 번만 살려줘... [차린건 쥐뿔도 없지만] EP.18 #이영지 #김채원 #르세라핌 (ENG/JPN/SPA/IND)",9910543
360,EPIK HIGH (에픽하이) - 술이 달다 (LOVEDRUNK) ft. CRUSH [Official MV],9381041
247,#shorts 축구 선수가 생각하는 스포츠계 주당,8347826
168,[슈취타] EP.8 SUGA with 연준 & 태현,6933531
170,Drunk On Love (술이 문제야),6908684
286,[나 혼자 산다]🥴어우 술냄새🍾😵‍💫찐친 민호와 키의 공감성'숙'취 𝟭𝟬𝟬％ 모닝☀️| #키 #민호 #샤이니 MBC220218방송,6781778
420,"[꼬꼬무2 6회 요약] ＂술, 담배는 끊어도 살인은 못 끊겠다＂ 쾌락형 연쇄살인범 정남규! 실제 범행 진술 영상 최초공개 | 꼬리에 꼬리를 무는 그날 이야기 (SBS방송)",6624343
61,다신 술 안 마셔,5994359
117,대학생 학과별 술자리 요약ㅋㅋㅋ #shorts,5600067
346,장혜진 X 윤민수 - 술이 문제야 / 가사,5403685
544,차쥐뿔에서 술 취하고 끼부리는 카리나,5380896
307,술 먹고 횡단보도에서 기억 잃은 썰 #bts #jin #차쥐뿔 #이영지,5321130
